日付,場コード,レース,判定,主役艇,スコア,着順,配当,波乱正誤,主役正誤
20260702,04,1R,波乱,4,-0.226,4-3-5,3650,×,◎
20260702,04,2R,堅め,1,0.183,1-2-3,650,○,◎
20260702,04,3R,混戦,4,0.012,3-1-6,1320,-,×
20260702,04,4R,混戦,4,0.005,4-3-5,10000,-,◎
20260702,04,5R,波乱,4,-0.122,2-1-4,6920,○,○
20260702,04,6R,混戦,4,0.003,2-5-6,4570,-,×
20260702,04,7R,混戦,4,0.018,2-4-6,4010,-,○
20260702,04,8R,混戦,4,-0.086,4-3-1,5830,-,◎
20260702,04,9R,堅め,1,0.101,2-5-3,14950,×,×
20260702,04,10R,混戦,4,0.069,1-4-6,10960,-,○
20260702,04,11R,堅め,1,0.163,3-1-6,4930,○,○
20260702,04,12R,混戦,4,-0.027,3-5-2,34730,-,×
20260702,05,1R,波乱,4,-0.125,4-6-1,4060,×,◎
20260702,05,2R,混戦,4,-0.062,1-3-6,1750,-,×
20260702,05,3R,混戦,4,0.042,1-2-4,1610,-,○
20260702,05,4R,波乱,4,-0.206,1-2-5,2170,×,×
20260702,05,5R,混戦,4,0.081,1-6-3,2480,-,×
20260702,05,6R,波乱,4,-0.188,1-3-4,620,×,○
20260702,05,7R,波乱,4,-0.125,5-2-1,29850,○,×
20260702,05,8R,混戦,4,0.089,1-2-6,1800,-,×
20260702,05,9R,堅め,1,0.184,4-1-3,7170,×,○
20260702,05,10R,堅め,1,0.103,2-4-5,14060,×,×
20260702,05,11R,混戦,4,-0.006,1-3-4,1080,-,○
20260702,05,12R,堅め,1,0.248,1-5-3,4850,○,◎
20260702,06,1R,混戦,4,0.07,6-5-1,11310,-,×
20260702,06,2R,波乱,4,-0.263,4-3-5,1630,×,◎
20260702,06,3R,堅め,1,0.234,1-6-4,1490,○,◎
20260702,06,4R,混戦,4,-0.006,4-2-6,5210,-,◎
20260702,06,5R,波乱,4,-0.214,1-4-6,1970,×,○
20260702,06,6R,混戦,4,0.049,2-1-5,5600,-,×
20260702,06,7R,混戦,4,-0.085,1-2-3,2320,-,×
20260702,06,8R,波乱,4,-0.247,4-1-3,2160,×,◎
20260702,06,9R,混戦,4,0.026,3-5-2,3690,-,×
20260702,06,10R,混戦,4,0.023,6-4-1,2390,-,○
20260702,06,11R,混戦,4,0.024,3-2-4,1500,-,○
20260702,06,12R,堅め,1,0.26,1-2-3,430,○,◎
20260702,07,1R,堅め,1,0.093,3-2-1,910,○,○
20260702,07,2R,混戦,4,0.001,4-1-2,13740,-,◎
20260702,07,3R,波乱,4,-0.176,5-2-6,3170,×,×
20260702,07,4R,混戦,4,0.076,1-2-3,1380,-,×
20260702,07,5R,波乱,4,-0.297,2-5-4,53770,○,○
20260702,07,6R,堅め,1,0.162,1-2-3,1430,○,◎
20260702,07,7R,堅め,1,0.438,1-5-3,710,○,◎
20260702,07,8R,堅め,1,0.385,3-1-2,870,○,○
20260702,07,9R,堅め,1,0.338,1-3-5,4980,○,◎
20260702,07,10R,堅め,1,0.289,1-2-3,970,○,◎
20260702,07,11R,堅め,1,0.156,1-6-2,1870,○,◎
20260702,07,12R,堅め,1,0.345,5-1-6,9460,×,○
20260702,08,1R,堅め,1,0.149,1-5-2,2010,○,◎
20260702,08,2R,波乱,4,-0.17,1-2-5,3360,×,×
20260702,08,3R,波乱,4,-0.324,2-3-4,1370,×,○
20260702,08,4R,混戦,4,-0.059,2-1-6,8860,-,×
20260702,08,5R,混戦,4,-0.011,5-1-4,14020,-,○
20260702,08,6R,堅め,1,0.277,5-2-4,141430,×,×
20260702,08,7R,堅め,1,0.133,1-5-6,1350,○,◎
20260702,08,8R,波乱,4,-0.338,4-2-6,2180,×,◎
20260702,08,9R,波乱,4,-0.12,1-3-6,3270,×,×
20260702,08,10R,堅め,1,0.11,1-4-5,930,○,◎
20260702,08,11R,堅め,1,0.163,1-2-3,490,○,◎
20260702,08,12R,堅め,1,0.142,1-6-4,3820,○,◎
20260702,11,1R,堅め,1,0.106,1-2-4,1190,○,◎
20260702,11,2R,波乱,4,-0.313,1-2-4,1760,×,○
20260702,11,3R,波乱,4,-0.224,1-6-4,4990,×,○
20260702,11,4R,堅め,1,0.163,1-6-3,2210,○,◎
20260702,11,5R,波乱,4,-0.178,5-4-2,3370,×,○
20260702,11,6R,混戦,4,0.011,5-2-3,2070,-,×
20260702,11,7R,混戦,4,-0.08,4-6-3,5860,-,◎
20260702,11,8R,波乱,4,-0.256,3-1-2,12860,○,×
20260702,11,9R,波乱,4,-0.143,4-2-5,17650,○,◎
20260702,11,10R,混戦,4,0.065,1-4-3,1430,-,○
20260702,11,11R,混戦,4,-0.048,2-4-1,11370,-,○
20260702,11,12R,混戦,4,-0.026,2-1-3,4620,-,×
20260702,16,1R,混戦,4,-0.009,3-5-1,26410,-,×
20260702,16,2R,波乱,4,-0.099,1-2-3,3480,×,×
20260702,16,3R,混戦,4,0.088,4-5-6,12760,-,◎
20260702,16,4R,混戦,4,0.036,5-1-3,11280,-,×
20260702,16,5R,混戦,4,-0.0,1-4-3,2290,-,○
20260702,16,6R,波乱,4,-0.156,4-5-1,5490,○,◎
20260702,16,7R,混戦,4,-0.066,2-4-3,17690,-,○
20260702,16,8R,波乱,4,-0.091,3-4-1,2040,×,○
20260702,16,9R,堅め,1,0.182,1-4-6,3140,○,◎
20260702,16,10R,混戦,4,0.084,1-2-4,2100,-,○
20260702,16,11R,混戦,4,0.033,1-2-4,530,-,○
20260702,16,12R,混戦,4,-0.005,4-6-5,18870,-,◎
20260702,19,1R,混戦,4,-0.058,1-5-4,4820,-,○
20260702,19,2R,堅め,1,0.108,3-2-6,8080,×,×
20260702,19,3R,混戦,4,-0.032,1-3-2,1200,-,×
20260702,19,4R,混戦,4,-0.012,1-2-4,6430,-,○
20260702,19,5R,混戦,4,0.013,1-4-2,1040,-,○
